movie_id,character,actor
2370,Rico Parra,John Vernon
2370,Jacques Granville,Michel Piccoli
2370,Henri Jarre,Philippe Noiret
2370,Michael Nordstrom,John Forsythe
2370,Philippe Dubois,Roscoe Lee Browne
67220,John Cunningham,James Coburn
67220,Sheila Metcalfe,Lee Remick
67220,Adrianne,Lilli Palmer
67220,Ramsey Williams,Burgess Meredith
67220,Alexi,Patrick Magee
67220,Michael Carlson,Sterling Hayden
67220,Maurice,Claude Dauphin
67220,Evelyn Carlson,Helen Cherry
67220,Ellen,Karen Black
67220,Belgian Prostitute,Sabine Sun
133332,Valérie,Danielle Ouimet
133332,Patrick Vollant - le peintre,Guy Godin
133332,Andrée,Andrée Flamand
133332,Kim,Kim Wilcox
133332,Le riche playboy,Claude Préfontaine
133332,Le millionnaire décadent,Henri Norbert
133332,Le premier client de Valérie,Michel Paje
133332,La travailleuse sociale,Clémence DesRochers
133332,Le gérant du club topless,Yvan Ducharme
133332,Un client de Valérie,Pierre Paquette
15383,Philippe Gerbier,Lino Ventura
15383,Luc Jardie,Paul Meurisse
15383,Jean François Jardie,Jean-Pierre Cassel
15383,Mathilde,Simone Signoret
15383,Félix Lepercq,Paul Crauchet
15383,Guillaume Vermesch « Le Bison »,Christian Barbier
15383,Claude Ullman « Le Masque »,Claude Mann
15383,Paul Dounat,Alain Libolt
15383,le Commandant du camp,Alain Mottet
15383,Legrain,Alain Decock
576,Pike Bishop,William Holden
576,Dutch Engstrom,Ernest Borgnine
576,Deke Thornton,Robert Ryan
576,Freddie Sykes,Edmond O'Brien
576,Lyle Gorch,Warren Oates
576,Angel,Jaime Sánchez
576,Tector Gorch,Ben Johnson
576,Gen. Mapache,Emilio Fernández
576,Coffer,Strother Martin
576,T.C,L.Q. Jones
224463,Sir Edward More,Nicol Williamson
224463,Margot,Anna Karina
224463,Herve Tourace,Jean-Claude Drouot
224463,Paul,Peter Bowles
224463,Lady Elizabeth More,Siân Phillips
224463,Brian,Sebastian Breaks
224463,Amelia More,Kate O'Toole
74137,Cecil,Robert De Niro
74137,Josephine,Jill Clayburgh
74137,Mrs. Fish,Valda Setterfield
74137,Mr. Fish,Raymond McNally
74137,Reverend Oldfield,John Braswell
74137,Charlie,Charles Pfluger
74137,Alistair,William Finley
74137,Celeste,Judy Thomas
74137,Phoebe,Jennifer Salt
38096,Sandy,Barbara Hershey
38096,Peter,Richard Thomas
38096,Rhoda,Catherine Burns
38096,Dan,Bruce Davison
