,adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count,character0,character1,character2
208,False,/yVJTG4nXUxdUJVK2y3md4miS6NN.jpg,"[28, 80, 53]",10649,en,The Enforcer,"Dirty Harry Callahan returns again, this time saddled with a rookie female partner. Together, they must stop a terrorist group consisting of angry Vietnam veterans.",2.73893,/nzde4U4Z7JuqT9VSqPWJxLfWkc0.jpg,1976-12-21,The Enforcer,False,6.61,89,Insp. Harry Callahan,Insp. Kate Moore,Lt. Al Bressler
209,False,/6BxcdvEgRFO5gt68x8vpGW4QZew.jpg,"[35, 10751]",23479,en,The Bad News Bears,"An aging, down-on-his-luck ex-minor leaguer coaches a team of misfits in an ultra-competitive California little league.",1.638923,/fsOwHPZBtCgn1APmOtWlp1KNcIZ.jpg,1976-04-07,The Bad News Bears,False,6.54,50,Coach Morris Buttermaker,Amanda Whurlitzer,Tanner Boyle
210,False,/uEUy0Nk3HTHLrIe9vJ20Req0VmF.jpg,"[35, 9648]",12268,en,The Pink Panther Strikes Again,"Now seriously mentally ill after working with Clouseau for such a long time, Inspector Dreyfus escapes from the mental asylum he was being held in and vows to destroy Clouseau forever. He kidnaps an eminent scientist and forces him to build a machine capable of destroying the world, with the intention of doing so unless Clouseau is delivered to him.",1.889593,/zsCdWipH1IkIRVnuOcNb4XwCGyl.jpg,1976-12-15,The Pink Panther Strikes Again,False,6.59,44,Inspector Clouseau,Dreyfus,Olga
211,False,/7TbIX6cjOqmFQPG7igvazoXkN9f.jpg,"[27, 53]",7340,en,Carrie,"Carrie may be ostracized, but the shy teen has the ability to move objects with her mind. So when the high school ""in crowd"" torments her with a sick joke at the prom, she lashes out with devastating -- and deadly -- power.",3.517378,/n9JxLthRHwTWwu5OjFHVplkVSUg.jpg,1976-11-03,Carrie,False,6.83,466,Carrie White,Margaret White,Sue Snell
212,False,/vkE1ROrP1gA5c1L31XZ8JR9QRMJ.jpg,"[18, 37]",10747,en,The Outlaw Josey Wales,"After avenging his family's brutal murder, Wales is pursued by a pack of soldiers. He prefers to travel alone, but ragtag outcasts are drawn to him - and Wales can't bring himself to leave them unprotected.",2.007889,/8HRmovHTe1FTiZ5GUM534izCNL2.jpg,1976-06-30,The Outlaw Josey Wales,False,7.07,124,Josey Wales,Lone Watie,Laura Lee
213,False,/hjmJKAVoZ3n2KWbKgasbfdugwhu.jpg,"[80, 18]",103,en,Taxi Driver,Robert De Niro stars as Travis Bickle in this oppressive psychodrama about a Vietnam veteran who rebels against the decadence and immorality of big city life in New York while working the nightshift as a taxi driver.,4.64468,/yxq4pk1xGmro8tQABuQIrWrvdaE.jpg,1976-02-08,Taxi Driver,False,7.81,1152,Travis Bickle,Betsy,'Sport' Matthew
214,False,/9orpbrPqAWzjx9l5RipP2z2M3oq.jpg,"[18, 10749]",42239,en,Ode to Billy Joe,"Billy Joe confesses his love to the lovely Bobbi Lee only to cover his growing fear that he may, in fact, be homosexual. One night, at a barn dance, he gets a little drunk and rather than going with the hired whores, gives into his desires and sexual relations with an unnamed man. The guilt causes him to run away, hide in the woods and eventually confess everything to Bobbi Lee who doesn't want to believe him only because she was enjoying the forbidden nature of their love. In the end, he cannot accept his sexuality nor can he hide behind Bobbi Lee and that's why he throws himself off the Tallahachee bridge.",1.000072,/96Dg3c79P0Fqgr2OAG9aWe6ceAR.jpg,1976-06-04,Ode to Billy Joe,False,7.63,4,Billy Joe McAllister,Bobbie Lee Hartley,Anna 'Mama' Hartley
215,False,/a68m6hfvFLctuq1IhrefWwHZLa2.jpg,"[12, 28, 10749, 878]",10803,en,Logan's Run,"An idyllic sci-fi future has one major drawback:, all citizens get a chance of being 'renewed' in a Civic Ceremony, at their 30th birthday, unless you run and escape before your time.",2.186528,/iBtkwot48QkgYpPfjceCgyK1Rhz.jpg,1976-06-23,Logan's Run,False,5.99,89,Logan,Francis,Jessica
216,False,/cD3uUR1xEOB856YUlNxWYJwkuil.jpg,[18],10774,en,Network,A TV network cynically exploits a deranged ex-TV anchor's ravings and revelations about the media for their own profit.,2.763327,/nFovf0eUlbdGRqjdxETFunUAtI0.jpg,1976-11-01,Network,False,7.29,150,Diana Christensen,Max Schumacher,Howard Beale
217,False,/d90eG6WVgIIncfykkHPktX2Bi2M.jpg,[53],10518,en,Marathon Man,"A graduate student and obsessive runner in New York is drawn into a mysterious plot involving his brother, a member of the secretive Division.",2.060737,/wu1T58QID2uxPspf0Jxm2FNgsb9.jpg,1976-10-05,Marathon Man,False,7.03,85,Thomas Babington ‚Babe‘ Levy,Christian Szell,Henry David ‚Doc‘ Levy
218,False,/z6tVkJCMHiQYHipqvhDcZeOqkaB.jpg,[35],21955,en,The Pom Pom Girls,"A football player at Rosedale High School is amorous of one of the cheerleaders, who is going with another guy. Another player can't decide which of two cheerleaders he wants to be with. Meanwhile, the Big Game with Hardin High School is approaching, and a prank war is in full swing.",1.067109,/qJvoYn8Y4BdXDQLExpixdkkCWbi.jpg,1976-05-01,The Pom Pom Girls,False,5.38,4,Johnnie,Duane,Roxanne
